primary_type,beat,year,count,direction,lambda
CRIMINAL DAMAGE,2432,2014,36,high,0
CRIMINAL DAMAGE,2432,2014,36,low,0
BURGLARY,1611,2012,11,high,0
BURGLARY,1611,2012,11,low,0
ASSAULT,2424,2011,31,high,0
ASSAULT,2424,2011,31,low,0
CRIMINAL DAMAGE,1612,2012,22,high,0
CRIMINAL DAMAGE,1612,2012,22,low,0
GAMBLING,2422,2012,2,high,0
GAMBLING,2422,2012,2,low,0
NARCOTICS,1611,2005,11,high,0
NARCOTICS,1611,2005,11,low,0
PROSTITUTION,2424,2006,115,high,0
PROSTITUTION,2424,2006,115,low,0
BURGLARY,1612,2012,37,high,0
BURGLARY,1612,2012,37,low,0
ASSAULT,2431,2015,54,high,0
ASSAULT,2431,2015,54,low,0
CRIMINAL DAMAGE,1613,2013,40,high,0
CRIMINAL DAMAGE,1613,2013,40,low,0
BURGLARY,2422,2013,70,high,0
BURGLARY,2422,2013,70,low,0
BURGLARY,2432,2004,74,high,0
BURGLARY,2432,2004,74,low,0
LIQUOR LAW VIOLATION,1613,2002,1,high,0
LIQUOR LAW VIOLATION,1613,2002,1,low,0
CRIMINAL DAMAGE,2424,2007,94,high,0
CRIMINAL DAMAGE,2424,2007,94,low,0
ASSAULT,1612,2004,32,high,0
ASSAULT,1612,2004,32,low,0
ARSON,2431,2004,4,high,0
ARSON,2431,2004,4,low,0
GAMBLING,2424,2002,4,high,0
GAMBLING,2424,2002,4,low,0
BURGLARY,1613,2007,55,high,0
BURGLARY,1613,2007,55,low,0
BURGLARY,1612,2009,19,high,0
BURGLARY,1612,2009,19,low,0
BURGLARY,2424,2011,61,high,0
BURGLARY,2424,2011,61,low,0
ROBBERY,1622,2004,4,high,0
ROBBERY,1622,2004,4,low,0
LIQUOR LAW VIOLATION,1612,2013,3,high,0
LIQUOR LAW VIOLATION,1612,2013,3,low,0
GAMBLING,2422,2011,7,high,0
GAMBLING,2422,2011,7,low,0
BURGLARY,2422,2006,19,high,0
BURGLARY,2422,2006,19,low,0
ARSON,1613,2002,2,high,0
ARSON,1613,2002,2,low,0
KIDNAPPING,2431,2009,2,high,0
KIDNAPPING,2431,2009,2,low,0
NARCOTICS,1613,2017,14,high,0
NARCOTICS,1613,2017,14,low,0
BURGLARY,1622,2007,8,high,0
BURGLARY,1622,2007,8,low,0
ROBBERY,1613,2012,11,high,0
ROBBERY,1613,2012,11,low,0
CRIMINAL DAMAGE,1611,2013,22,high,0
CRIMINAL DAMAGE,1611,2013,22,low,0
ARSON,1611,2002,2,high,0
ARSON,1611,2002,2,low,0
ARSON,1613,2010,1,high,0
ARSON,1613,2010,1,low,0
ASSAULT,2424,2013,108,high,0
ASSAULT,2424,2013,108,low,0
NARCOTICS,1613,2009,9,high,0
NARCOTICS,1613,2009,9,low,0
INTERFERENCE WITH PUBLIC OFFICER,2424,2004,2,high,0
INTERFERENCE WITH PUBLIC OFFICER,2424,2004,2,low,0
NARCOTICS,2423,2005,225,high,0
NARCOTICS,2423,2005,225,low,0
ROBBERY,2431,2013,9,high,0
ROBBERY,2431,2013,9,low,0
ROBBERY,1613,2005,3,high,0
ROBBERY,1613,2005,3,low,0
ASSAULT,1614,2008,1,high,0
ASSAULT,1614,2008,1,low,0
BURGLARY,2432,2007,146,high,0
BURGLARY,2432,2007,146,low,0
NARCOTICS,2424,2002,68,high,0
NARCOTICS,2424,2002,68,low,0
PROSTITUTION,2423,2007,18,high,0
PROSTITUTION,2423,2007,18,low,0
BURGLARY,1613,2015,24,high,0
BURGLARY,1613,2015,24,low,0
NARCOTICS,2422,2015,227,high,0
NARCOTICS,2422,2015,227,low,0
NARCOTICS,2422,2004,112,high,0
NARCOTICS,2422,2004,112,low,0
